"","Sample","Av_Total_Int","Av_Blue_Int_Percent","Av_Green_Int_Percent","Av_Yellow_Int_Percent","Av_Red_Int_Percent","Av-LM","AV_MS","Av_Chroma","Av_Hue_radians","Av_Hue_degrees","Av_Adjust_Hue_degrees","Av_Adjust_Radians","Adjust_Hue_degrees_2SE","Total_Int_2SE","Chroma_2SE","Reverse_Chroma","Color_Class","Geography","Population","Intensity_Class"
"./2020_02_13_05_Intensity_Chroma_Hue.txt","./2020_02_13_05_Intensity_Chroma_Hue.txt",13826.2815997669,0.239150858935484,0.165934437929688,0.144981322869686,0.449933380265142,0.283998942335454,-0.094169536065798,0.29927844981178,5.9624409067221,341.622699551332,71.6226995513319,1.25055507153119,0.663941385823448,281.204720070523,0.00539525169852593,0.70072155018822,"LB","North ","2","L"
"./2020_02_14_03_Intensity_Chroma_Hue.txt","./2020_02_14_03_Intensity_Chroma_Hue.txt",14544.6376476943,0.244815664684793,0.171996155727187,0.146161173574749,0.437027006013271,0.265030850286084,-0.098654491110043,0.282877225895603,5.92639854621298,339.55762441047,69.5576244104702,1.21449820399234,0.815605596155476,378.289705262881,0.0077856022568401,0.717122774104397,"LB","North ","2","L"
"./2020_02_15_01_Intensity_Chroma_Hue.txt","./2020_02_15_01_Intensity_Chroma_Hue.txt",16270.3209051444,0.251869370415961,0.179273851076573,0.149104574232689,0.419752204274777,0.240478353198204,-0.102764796183272,0.261570925028713,5.88026098163025,336.914136682868,66.9141366828678,1.16834206906595,0.773359510631901,582.011647518195,0.0143631726312921,0.738429074971287,"LB","North ","2","L"
"./2020_02_16_30_Intensity_Chroma_Hue.txt","./2020_02_16_30_Intensity_Chroma_Hue.txt",14850.7053940584,0.23579061507315,0.171551996663896,0.142406082838969,0.450251305423986,0.27869930876009,-0.0933845322341807,0.294037298906177,5.96195054485765,341.594603886065,71.5946038860652,1.25006451229638,0.970312485506659,347.014960716435,0.0186082896903606,0.705962701093823,"LB","North ","2","L"
"./2020_03_04_01_Intensity_Chroma_Hue.txt","./2020_03_04_01_Intensity_Chroma_Hue.txt",9465.59360445967,0.125129892377512,0.0505382340926823,0.166352218740158,0.657979654789648,0.607441420696966,0.0412223263626461,0.609015784272167,0.0666841611374555,3.8207209935465,93.8207209935465,1.63813957290319,0.829962060343529,227.362064244189,0.0206449388710092,0.390984215727833,"DR","North ","3","D"
"./2020_03_05_03_Intensity_Chroma_Hue.txt","./2020_03_05_03_Intensity_Chroma_Hue.txt",8491.2120691494,0.112895287314027,0.0492256236677462,0.146347417146093,0.691531671872134,0.642306048204387,0.0334521298320657,0.643186253971444,0.0519218039658793,2.9749002319505,92.9749002319505,1.6233712738912,0.190539939748155,247.210733901615,0.0181111204336767,0.356813746028556,"DR","North ","3","D"
"./2020_03_07_30_Intensity_Chroma_Hue.txt","./2020_03_07_30_Intensity_Chroma_Hue.txt",15426.7024896908,0.210998991488217,0.114969062908163,0.210417817548862,0.463614128054758,0.348645065146596,-0.000581173939355006,0.348700016751665,4.71014220954642,269.871269513434,89.8712695134342,1.56918089626631,0.602941892246586,260.228531501122,0.0108090394024928,0.651299983248335,"LR","North ","3","L"
"./2020_03_09_04_Intensity_Chroma_Hue.txt","./2020_03_09_04_Intensity_Chroma_Hue.txt",10173.3720176524,0.103130626402742,0.0341484688016044,0.161125156978243,0.70159574781741,0.667447279015806,0.0579945305755016,0.669972429759256,0.0865343550634197,4.95805332802048,94.9580533280205,1.65799775652099,0.192633403019623,215.573966666079,0.0122218390961049,0.330027570240744,"DR","North ","3","D"
"./2020_03_10_41_Intensity_Chroma_Hue.txt","./2020_03_10_41_Intensity_Chroma_Hue.txt",14316.8382583885,0.201598140773146,0.11057995581878,0.214651556886337,0.473170346521737,0.362590390702957,0.0130534161131906,0.36285096958768,0.0363259734078367,2.0813249629735,92.0813249629735,1.60776916602017,0.413610266401242,330.047669172209,0.0101862635171178,0.63714903041232,"LR","North ","3","L"
"./2020_03_13_41_Intensity_Chroma_Hue.txt","./2020_03_13_41_Intensity_Chroma_Hue.txt",12560.8436840971,0.176891385651359,0.0972438320177226,0.204904893589585,0.520959888741333,0.42371605672361,0.0280135079382258,0.424645552757087,0.065926361098697,3.77730224961079,93.7773022496108,1.63738146785035,0.156426576285529,166.180267057212,0.00972655648826282,0.575354447242913,"LR","North ","3","L"
