"","Row.names","fit$classification","Color_Class","Intensity_Class","Av_Total_Int","Av_Chroma","Av_Adjust_Hue_degrees","X","Sample","Av_Blue_Int_Percent","Av_Green_Int_Percent","Av_Yellow_Int_Percent","Av_Red_Int_Percent","Av.LM","AV_MS","Av_Hue_radians","Av_Hue_degrees","Av_Adjust_Radians","Adjust_Hue_degrees_2SE","Total_Int_2SE","Chroma_2SE","Reverse_Chroma","Geography","Population","plotcolassign"
"64","176","LB","LB","L",15021.9035841884,0.272154922283536,60.1362160278549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
"65","177","LB","LB","L",14299.016286834,0.248355056598941,65.7694330461197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
"66","178","LB","LB","L",14783.5455827547,0.276808875606525,67.4415222215488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
"67","179","DB","DB","D",10212.7997052505,0.48910245154539,81.9288867675517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DB"
"68","18","LB","LB","L",16270.3209051444,0.261570925028713,66.9141366828678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
"69","180","LR","LR","L",14329.1037506833,0.345209264374388,86.9339604259736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LR"
"70","181","LB","DB","D",12561.9588500095,0.376967219621306,69.4782475339137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
"71","182","LR","LR","L",14638.7580977447,0.319485280848779,90.6689613596828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LR"
"72","183","LB","LB","L",14389.4945532351,0.300798970314176,67.8385021334337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
"73","184","LB","LB","L",14905.9600040817,0.273936895136274,68.6442711632628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LB"
